Rank,Industry,Sector,RS,1 M_RS,3M_RS,6M_RS,Ticker
67,Conglomerates,Industrials,51,49,50,50,"HON,MMM,VMI,SEB,OTTR,BBU,TTI,DLX,MATW,CRESY,FBYD,AIRTP,STRRP,FIP,TRC,BOC,CODI,BOOM,RCMT,AIRT,STRR"
68,Utilities - Regulated Gas,Utilities,51,40,47,54,"ATO,NI,UGI,SWX,BKH,BIPC,SR,NJR,OGS,MDU,CPK,CTRI,NWN,SPH,RGCO"
69,Oil & Gas Midstream,Energy,51,41,55,50,"IMPPP,ENB,WMB,EPD,KMI,ET,TRP,MPLX,OKE,LNG,TRGP,CQP,PBA,VG,WES,PAA,DTM,VNOM,AM,HESM,SOBO,FRO,PAGP,GLNG,EE,CMBT,STNG,INSW,SUNC,TRMD,KNTK,DHT,TNK,GEL,GLP,FLNG,NVGS,LPG,NGL,SBR,TK,PBT,TEN,CLCO,KNOP,SMC,TORO,TOPS"
70,Trucking,Industrials,50,87,74,43,"ODFL,XPO,SAIA,KNX,TFII,SNDR,RXO,WERN,ARCB,MRTN,HTLD,CVLG,ULH,PAMT"
71,Industrial Distribution,Industrials,50,71,41,39,"GWW,FAST,FERG,QXO,WSO,WCC,CNM,AIT,POOL,SITE,REZI,MSM,XMTR,DNOW,DXPE,DSGR,GIC,BXC,TITN,EVI"
72,Insurance - Life,Financial Services,50,65,61,52,"MFC,AFL,MET,PRU,PUK,UNM,GL,PRI,LNC,JXN,CNO,GNW,BHF,ABX,SNFCA,BHFAO,BHFAN,BHFAP,BHFAM,FG"
73,Utilities - Diversified,Utilities,49,54,44,51,"SRE,BIP,AES,AQN,AVA,UTL"
74,Rental & Leasing Services,Industrials,49,65,46,43,"URI,AER,FTAI,R,AL,GATX,CAR,FTAIM,FTAIN,UHAL,HRI,WSC,MGRC,HTZ,CTOS,PRG,WLFC,VSTS,ALTG"
75,Leisure,Consumer Cyclical,49,77,61,44,"AS,HAS,PLNT,MAT,LTH,GOLF,YETI,PTON,MSGE,MODG,OSW,PRKS,FUN,LUCK,JOUT,XPOF,JAKK,ESCA,DOGZ,AOUT"
76,Mortgage Finance,Financial Services,49,49,52,48,"RKT,PFSI,WD,VEL,BETR,ONIT,GHI,IOR,CNF"
77,Beverages - Non-Alcoholic,Consumer Defensive,48,44,56,45,"KO,PEP,MNST,CCEP,KDP,KOF,CELH,COKE,PRMB,COCO,FIZZ"
